Pass	Rep	AA	MO	RE	BS	OA	CX	SX	Total
10	C2	1112000000.00	56000000.00	0.00	10000000.00	584000000.00	2000000.00	0.00	1764000000.00
10	D1	360000000.00	88000000.00	0.00	30000000.00	240000000.00	0.00	0.00	718000000.00
10	D2	800000000.00	72000000.00	0.00	2000000.00	424000000.00	0.00	0.00	1298000000.00
10	E1	488000000.00	64000000.00	0.00	8000000.00	472000000.00	0.00	0.00	1032000000.00
10	E2	672000000.00	88000000.00	0.00	2000000.00	456000000.00	0.00	0.00	1218000000.00
10	F1	424000000.00	176000000.00	0.00	4000000.00	216000000.00	0.00	0.00	820000000.00
10	F2	280000000.00	184000000.00	0.00	14000000.00	328000000.00	0.00	0.00	806000000.00
10	G1	632000000.00	40000000.00	0.00	6000000.00	376000000.00	0.00	0.00	1054000000.00
10	G2	584000000.00	120000000.00	0.00	2000000.00	504000000.00	0.00	0.00	1210000000.00
10	H1	984000000.00	72000000.00	0.00	2000000.00	520000000.00	0.00	0.00	1578000000.00
10	H2	560000000.00	104000000.00	0.00	2000000.00	432000000.00	0.00	0.00	1098000000.00
10	I1	488000000.00	80000000.00	0.00	12000000.00	320000000.00	0.00	0.00	900000000.00
10	I2	488000000.00	152000000.00	0.00	30000000.00	336000000.00	0.00	0.00	1006000000.00
10	J1	704000000.00	64000000.00	0.00	2000000.00	328000000.00	0.00	0.00	1098000000.00
10	J2	832000000.00	88000000.00	0.00	6000000.00	480000000.00	0.00	0.00	1406000000.00
10	K1	800000000.00	160000000.00	0.00	16000000.00	640000000.00	0.00	0.00	1616000000.00
10	K2	496000000.00	40000000.00	0.00	6000000.00	344000000.00	0.00	0.00	886000000.00
10	L1	872000000.00	144000000.00	0.00	4000000.00	256000000.00	0.00	0.00	1276000000.00
10	L2	488000000.00	104000000.00	0.00	8000000.00	536000000.00	0.00	0.00	1136000000.00
